region	MM	PDR
chr11-695334-696532	0.012501	0.0823864
chr11-705117-706315	0.207118	0.435714
chr11-746329-747527	0.123661	0.240188
chr11-777286-778484	0.108218	0.372093
chr11-789925-791123	0.287333	0.66147
chr11-796163-797361	0.0540816	0.147638
chr11-805047-806245	0.195469	0.423529
chr11-808647-809845	0.0520145	0.173554
chr11-817902-819100	0.521825	0.524085
chr11-826585-827783	0.127796	0.382009
chr11-831843-833041	0.383739	0.563559
chr11-842347-843545	0.00927835	0.133663
chr11-843446-844644	0.068567	0.201699
chr11-904725-905923	0.930024	0.26284
chr11-924881-926079	0.19334	0.513131
chr11-1036508-1037706	0.532759	0.745358
chr11-1073875-1075073	0.716182	0.615385
chr11-1150580-1151778	0.714957	0.547445
chr11-1243296-1244494	0.63132	0.634304
chr11-1330654-1331852	0.169186	0.327343
chr11-1431382-1432580	0.757345	0.644914
chr11-1507778-1508976	0.64763	0.556793
chr11-1592952-1594150	0.0105798	0.209366
chr11-1606315-1607513	0.684764	0.484076
chr11-1629495-1630693	0.676991	0.361702
chr11-1643170-1644368	0.64175	0.578358
chr11-1650033-1651231	0.361253	0.658333
chr11-1717425-1718623	0.813812	0.558659
chr11-1771623-1772821	0.389663	0.561404
chr11-1785024-1786222	0.082767	0.292845
chr11-1854674-1855872	0.58151	0.373737
chr11-1859711-1860909	0.792247	0.600768
chr11-1885395-1886593	0.565431	0.534979
chr11-1939792-1940990	0.64944	0.632953
chr11-1967508-1968706	0.246651	0.581818
chr11-2162270-2163468	0.248634	0.610497
chr11-2182236-2183434	0.721809	0.610837
chr11-2182241-2183439	0.721809	0.610837
chr11-2192837-2194035	0.695146	0.716802
chr11-2291984-2293182	0.16895	0.545806
chr11-2322243-2323441	0.439918	0.535009
chr11-2322945-2324143	0.484266	0.527434
chr11-2397524-2398722	0.373176	0.469136
chr11-2420766-2421964	0.0272978	0.117207
chr11-2444077-2445275	0.722631	0.62591
chr11-2465221-2466419	0.0836758	0.418052
chr11-2906913-2908111	0.0994617	0.47412
chr11-2922650-2923848	0.171738	0.204724
chr11-2924772-2925970	0.603295	0.448276
chr11-2950487-2951685	0.0259379	0.220884
chr11-3013409-3014607	0.0469839	0.19133
chr11-3078469-3079667	0.187552	0.253541
chr11-3186386-3187584	0.257809	0.487179
chr11-3239845-3241043	0.713359	0.69754
chr11-3253418-3254616	0.729872	0.723312
chr11-3400199-3401397	0.137587	0.0551181
chr11-3663287-3664485	0.0444727	0.197652
chr11-3665361-3666559	0.832385	0.481752
chr11-3692416-3693614	0.819872	0.674699
chr11-3818824-3820022	0.226007	0.259494
chr11-3828691-3829889	0.265814	0.211172
chr11-3862015-3863213	0.0200035	0.0943396
chr11-3875932-3877130	0.0173839	0.0729335
chr11-4115039-4116237	0.140496	0.108241
chr11-4389418-4390616	0.776669	0.64
chr11-4414728-4415926	0.195436	0.366242
chr11-4614269-4615467	0.731614	0.4
chr11-4629291-4630489	0.230382	0.0710059
chr11-4659945-4661143	0.829836	0.514768
chr11-4663650-4664848	0.664737	0.375
chr11-4787500-4788698	0.746217	0.555556
chr11-4790949-4792147	0.813918	0.399083
chr11-4825412-4826610	0.753247	0.642857
chr11-4870316-4871514	0.607117	0.79085
chr11-4881596-4882794	0.857868	0.377358
chr11-4927600-4928798	0.705586	0.703704
chr11-4936724-4937922	0.767331	0.820755
chr11-5066756-5067954	0.72901	0.615385
chr11-5153674-5154872	0.847027	0.545977
chr11-5221732-5222930	0.552402	0.77551
chr11-5323028-5324226	0.676202	0.545455
chr11-5345384-5346582	0.740964	0.464567
chr11-5364611-5365809	0.660802	0.692308
chr11-5422827-5424025	0.753515	0.727273
chr11-5442341-5443539	0.714778	0.581633
chr11-5473638-5474836	0.820261	0.61039
chr11-5526636-5527834	0.861479	0.230088
chr11-5601107-5602305	0.912096	0.308333
chr11-5616886-5618084	0.314733	0.278438
chr11-5616955-5618153	0.268408	0.278438
chr11-5639994-5641192	0.808293	0.339286
chr11-5706095-5707293	0.482782	0.239394
chr11-5774923-5776121	0.663573	0.897436
chr11-6024226-6025424	0.570025	0.538462
chr11-6127914-6129112	0.730534	0.466667
chr11-6219376-6220574	0.890984	0.413333
chr11-6255743-6256941	0.0852891	0.169381
chr11-6279966-6281164	0.0422155	0.199697
chr11-6341679-6342877	0.115076	0.193362
chr11-6410661-6411859	0.0697534	0.189236
chr11-6440102-6441300	0.027268	0.104305
chr11-6462096-6463294	0.79194	0.352941
chr11-6495491-6496689	0.201815	0.256506
chr11-6501677-6502875	0.0369777	0.0560748
chr11-6502344-6503542	0.0186145	0.0698577
chr11-6517526-6518724	0.767218	0.563934
chr11-6624046-6625244	0.0132006	0.0458265
chr11-6624652-6625850	0.00372222	0.0434783
chr11-6633700-6634898	0.0722521	0.0658683
chr11-6640494-6641692	0.164234	0.0277778
chr11-6676887-6678085	0.143468	0.355212
chr11-6704434-6705632	0.196568	0.148585
chr11-6865883-6867081	0.802076	0.411765
chr11-6913632-6914830	0.636103	0.617021
chr11-6946654-6947852	0.0693723	0.152975
chr11-7040677-7041875	0.059244	0.225502
chr11-7041401-7042599	0.116356	0.215531
chr11-7109165-7110363	0.738574	0.755287
chr11-7272181-7273379	0.0879229	0.357692
chr11-7534001-7535199	0.0331492	0.127108
chr11-7695241-7696439	0.136306	0.318182
chr11-7818322-7819520	0.852362	0.467949
chr11-7960943-7962141	0.768981	0.551724
chr11-7985006-7986204	0.7503	0.386935
chr11-8059180-8060378	0.774141	0.493506
chr11-8190338-8191536	0.14139	0.337481
chr11-8285207-8286405	0.277789	0.25
chr11-8693215-8694413	0.807333	0.346939
chr11-8702958-8704156	0.315177	0.227061
chr11-8931687-8932885	0.0329688	0.157895
chr11-8932300-8933498	0.0169148	0.0871985
chr11-8964382-8965580	0.858712	0.142857
chr11-8986122-8987320	0.200109	0.186813
chr11-9025398-9026596	0.161392	0.619735
chr11-9112948-9114146	0.248412	0.446429
chr11-9286739-9287937	0.156041	0.315403
chr11-9336129-9337327	0.166748	0.317554
chr11-9405169-9406367	0.435955	0.339695
chr11-9481512-9482710	0.00466695	0.0436681
chr11-9594228-9595426	0.00624498	0.0900141
chr11-9684624-9685822	0.187581	0.238806
chr11-10315556-10316754	0.0245232	0.152381
chr11-10325631-10326829	0.0425442	0.140468
chr11-10471228-10472426	0.368057	0.399689
chr11-10530525-10531723	0.761576	0.206551
chr11-10562566-10563764	0.130292	0.160938
chr11-10590040-10591238	0.771896	0.436364
chr11-10715101-10716299	0.576983	0.520776
chr11-10771534-10772732	0.0954259	0.276786
chr11-10829322-10830520	0.011792	0.0654828
chr11-10879422-10880620	0.00320827	0.0364964
chr11-11374706-11375904	0.871377	0.291667
chr11-11643354-11644552	0.0799762	0.183386
chr11-11861970-11863168	0.275801	0.164122
chr11-12030431-12031629	0.180923	0.450425
chr11-12131138-12132336	0.0535714	0.177033
chr11-12307447-12308645	0.801253	0.411765
chr11-12397732-12398930	0.47614	0.756554
chr11-12765588-12766786	0.817276	0.496644
chr11-13298345-13299543	0.00601949	0.0586166
chr11-13484629-13485827	0.0821727	0.123055
chr11-13689217-13690415	0.021763	0.14828
chr11-14380532-14381730	0.182491	0.349241
chr11-14521200-14522398	0.0127109	0.0481013
chr11-14541692-14542890	0.0577644	0.134817
chr11-14664269-14665467	0.3544	0.387358
chr11-14664965-14666163	0.0166382	0.144817
chr11-14913600-14914798	0.0780555	0.0687023
chr11-14993702-14994900	0.163665	0.445349
chr11-15094108-15095306	0.387708	0.501106
chr11-15132970-15134168	0.793587	0.449612
chr11-16758948-16760146	0.145439	0.113095
chr11-17035761-17036959	0.0296747	0.227419
chr11-17099136-17100334	0.11053	0.212458
chr11-17191090-17192288	0.928016	0.410256
chr11-17297312-17298510	0.0308043	0.0824053
chr11-17372273-17373471	0.187866	0.278689
chr11-17410008-17411206	0.141733	0.333907
chr11-17498194-17499392	0.172313	0.365385
chr11-17565656-17566854	0.494806	0.609836
chr11-17567920-17569118	0.362819	0.510324
chr11-17740115-17741313	0.103256	0.397704
chr11-17755359-17756557	0.0804283	0.279188
chr11-18034511-18035709	0.0145578	0.0588235
chr11-18062674-18063872	0.844209	0.5
chr11-18127440-18128638	0.247296	0.399068
chr11-18141502-18142700	0.891313	0.600962
chr11-18258242-18259440	0.754282	0.62069
chr11-18286811-18288009	0.572767	0.480769
chr11-18343143-18344341	0.00613155	0.0432331
chr11-18343523-18344721	0.00573468	0.0314685
chr11-18416813-18418011	0.00480654	0.044289
chr11-18432854-18434052	0.582403	0.40638
chr11-18476431-18477629	0.822176	0.474378
chr11-18548581-18549779	0.14022	0.0531915
chr11-18610032-18611230	0.0603433	0.0862423
chr11-18655842-18657040	0.166385	0.248052
chr11-18719338-18720536	0.197679	0.279294
chr11-18747529-18748727	0.838861	0.431452
chr11-18813191-18814389	0.0591367	0.28607
chr11-19082030-19083228	0.461668	0.364583
chr11-19137676-19138874	0.0969337	0.308108
chr11-19231922-19233120	0.922575	0.340524
chr11-19262969-19264167	0.0453179	0.229868
chr11-19734143-19735341	0.00999186	0.094533
chr11-20181672-20182870	0.151571	0.565611
chr11-20384289-20385487	0.0912896	0.117302
chr11-20408076-20409274	0.0797215	0.296448
chr11-20619946-20621144	0.162821	0.419773
chr11-20690118-20691316	0.0440487	0.232087
chr11-22213722-22214920	0.0898419	0.266559
chr11-22358643-22359841	0.135247	0.254516
chr11-22647189-22648387	0.100667	0.111722
chr11-22687161-22688359	0.252117	0.345133
chr11-22851213-22852411	0.101189	0.0974729
chr11-24517724-24518922	0.115247	0.303241
chr11-26351971-26353169	0.774542	0.464286
chr11-27014628-27015826	0.122075	0.311765
chr11-27494095-27495293	0.145816	0.32342
chr11-27528122-27529320	0.0562456	0.0460251
chr11-27722402-27723600	0.0177943	0.0979335
chr11-28128901-28130099	0.00482462	0.0375648
chr11-28129657-28130855	0.0761584	0.0539326
chr11-30038372-30039570	0.12206	0.423562
chr11-30343598-30344796	0.143442	0.242017
chr11-30601845-30603043	0.88391	0.375
chr11-31390387-31391585	0.0337107	0.146023
chr11-31391123-31392321	0.0434146	0.0569343
chr11-31530297-31531495	0.0139665	0.0486577
chr11-31530971-31532169	0.0106938	0.057423
chr11-31839311-31840509	0.129811	0.491607
chr11-32111450-32112648	0.361072	0.482402
chr11-32456978-32458176	0.0774936	0.316629
chr11-32604371-32605569	0.285433	0.127946
chr11-32850489-32851687	0.0175737	0.0922747
chr11-33036410-33037608	0.273657	0.428571
chr11-33059963-33061161	0.216508	0.34296
chr11-33182813-33184011	0.315974	0.17134
chr11-33278133-33279331	0.0228571	0.102273
chr11-33562821-33564019	0.729241	0.558528
chr11-33722149-33723347	0.0243951	0.133047
chr11-33757787-33758985	0.052107	0.137615
chr11-33795864-33797062	0.0949728	0.176895
chr11-33913638-33914836	0.772012	0.38796
chr11-34072230-34073428	0.0291121	0.0428266
chr11-34126149-34127347	0.0466377	0.0576324
chr11-34379357-34380555	0.00644588	0.068306
chr11-34459472-34460670	0.0202723	0.0588235
chr11-34533148-34534346	0.891422	0.32618
chr11-34937119-34938317	0.00603259	0.0666667
chr11-34937848-34939046	0.0269734	0.119256
chr11-35159728-35160926	0.0337564	0.113677
chr11-35440598-35441796	0.0262941	0.182065
chr11-35546973-35548171	0.186462	0.355993
chr11-35638735-35639933	0.159866	0.363636
chr11-35683353-35684551	0.0542714	0.137931
chr11-35964628-35965826	0.104267	0.390963
chr11-36310781-36311979	0.0787123	0.126382
chr11-36396555-36397753	0.45	0.371711
chr11-36531624-36532822	0.0521864	0.147016
chr11-36615400-36616598	0.0967471	0.166667
chr11-36619588-36620786	0.875857	0.202247
chr11-40315466-40316664	0.508511	0.541791
chr11-43332539-43333737	0.0420047	0.122892
chr11-43379491-43380689	0.0709358	0.135088
chr11-43701259-43702457	0.112427	0.269122
chr11-43901389-43902587	0.186934	0.386513
chr11-44068531-44069729	0.770864	0.515337
chr11-44086818-44088016	0.0147016	0.0598291
chr11-44116747-44117945	0.0170221	0.121678
chr11-44331518-44332716	0.0657458	0.345109
chr11-44586141-44587339	0.0179264	0.0950413
chr11-44971513-44972711	0.0204032	0.192149
chr11-45167894-45169092	0.00361426	0.0644172
chr11-45307672-45308870	0.212586	0.177122
chr11-45686974-45688172	0.0890509	0.174603
chr11-45824957-45826155	0.381067	0.329184
chr11-45867957-45869155	0.159963	0.370558
chr11-45906202-45907400	0.21377	0.350114
chr11-45928635-45929833	0.51022	0.598194
chr11-45939182-45940380	0.00450028	0.0441176
chr11-45942196-45943394	0.575781	0.522321
chr11-46142363-46143561	0.00719091	0.0913043
chr11-46298212-46299410	0.352846	0.454737
chr11-46382145-46383343	0.40756	0.489655
chr11-46401306-46402504	0.264341	0.451705
chr11-46407909-46409107	0.832525	0.524306
chr11-46612716-46613914	0.795266	0.517647
chr11-46638150-46639348	0.00838729	0.0482897
chr11-46638579-46639777	0.00634759	0.0544629
chr11-46721368-46722566	0.0725158	0.208675
chr11-46721951-46723149	0.0133353	0.0921228
chr11-46739730-46740928	0.818222	0.578947
chr11-46867582-46868780	0.0250984	0.0597015
chr11-46939975-46941173	0.111366	0.403361
chr11-46957329-46958527	0.417349	0.303075
chr11-47198435-47199633	0.0715796	0.295775
chr11-47207234-47208432	0.0252435	0.174507
chr11-47235493-47236691	0.0564271	0.0697168
chr11-47270259-47271457	0.114449	0.0930657
chr11-47278530-47279728	0.603831	0.370909
chr11-47290225-47291423	0.0911945	0.217617
chr11-47374055-47375253	0.856215	0.54717
chr11-47399744-47400942	0.636768	0.465465
chr11-47429180-47430378	0.0252944	0.117647
chr11-47447790-47448988	0.1443	0.26178
chr11-47470532-47471730	0.77096	0.589118
chr11-47545342-47546540	0.194631	0.333333
chr11-47586153-47587351	0.123897	0.258517
chr11-47599562-47600760	0.0678608	0.207634
chr11-47600369-47601567	0.0165686	0.110694
chr11-47607198-47608396	0.818266	0.358779
chr11-47616013-47617211	0.515819	0.581818
chr11-47663977-47665175	0.226703	0.325243
chr11-47736714-47737912	0.219464	0.270789
chr11-47788655-47789853	0.00672825	0.0507042
chr11-47869821-47871019	0.18895	0.210708
chr11-48001113-48002311	0.122536	0.459459
chr11-48237344-48238542	0.780727	0.489362
chr11-48326775-48327973	0.805954	0.395349
chr11-49080466-49081664	0.827387	0.450617
chr11-49230024-49231222	0.481313	0.444089
chr11-51514282-51515480	0.592289	0.588652
chr11-55431614-55432812	0.660354	0.711538
chr11-55586086-55587284	0.785657	0.525641
chr11-55605228-55606426	0.389794	0.944444
chr11-55761903-55763101	0.586881	0.803571
chr11-55871519-55872717	0.737874	0.577381
chr11-55888849-55890047	0.718176	0.503145
chr11-55904996-55906194	0.818312	0.45933
chr11-56042029-56043227	0.841245	0.615385
chr11-56084783-56085981	0.885714	0.258427
chr11-56185510-56186708	0.757222	0.71875
chr11-56230679-56231877	0.725362	0.533333
chr11-56237816-56239014	0.856713	0.276471
chr11-56258673-56259871	0.733581	0.526462
chr11-56310559-56311757	0.756579	0.645833
chr11-56345065-56346263	0.762821	0.690141
chr11-56466864-56468062	0.582237	0.708333
chr11-56511089-56512287	0.861486	0.24812
chr11-56755347-56756545	0.79	0.5625
chr11-56948221-56949419	0.301205	0.620253
chr11-57089473-57090671	0.239625	0.239437
chr11-57103153-57104351	0.10692	0.171111
chr11-57104991-57106189	0.819878	0.36802
chr11-57148425-57149623	0.612879	0.710526
chr11-57177388-57178586	0.870469	0.353791
chr11-57194220-57195418	0.0826087	0.116327
chr11-57227022-57228220	0.0100565	0.100741
chr11-57283061-57284259	0.113173	0.0735294
chr11-57298040-57299238	0.00914755	0.0337756
chr11-57307979-57309177	0.879269	0.298039
chr11-57335082-57336280	0.0450051	0.12854
chr11-57363991-57365189	0.604644	0.504405
chr11-57417219-57418417	0.460443	0.290984
chr11-57423630-57424828	0.546207	0.30855
chr11-57434368-57435566	0.00717959	0.0798898
chr11-57479077-57480275	0.0245672	0.102762
chr11-57479079-57480277	0.0207473	0.0927602
chr11-57479475-57480673	0.0120688	0.0437956
chr11-57508044-57509242	0.120458	0.103239
chr11-57519055-57520253	0.777502	0.381663
chr11-57528269-57529467	0.533492	0.621849
chr11-57790353-57791551	0.772201	0.507042
chr11-57956906-57958104	0.781058	0.527778
chr11-57996192-57997390	0.885509	0.434389
chr11-58207448-58208646	0.718419	0.40625
chr11-58345441-58346639	0.00547093	0.0345946
chr11-58345584-58346782	0.00607223	0.0450346
chr11-58345645-58346843	0.00626436	0.0535032
chr11-58389146-58390344	0.817881	0.190244
chr11-58709722-58710920	0.815327	0.277778
chr11-58873710-58874908	0.0499946	0.182002
chr11-58909221-58910419	0.00671817	0.0606061
chr11-58938965-58940163	0.00893394	0.113939
chr11-58980226-58981424	0.708906	0.345455
chr11-59209617-59210815	0.836885	0.589431
chr11-59223411-59224609	0.711449	0.681818
chr11-59243846-59245044	0.767785	0.368421
chr11-59270049-59271247	0.764781	0.618357
chr11-59383419-59384617	0.123127	0.111963
chr11-59436255-59437453	0.0288621	0.144131
chr11-59481139-59482337	0.763094	0.642857
chr11-59521532-59522730	0.00467242	0.0388248
chr11-59578147-59579345	0.202444	0.155022
chr11-59806748-59807946	0.774885	0.456853
chr11-59823156-59824354	0.730885	0.532
chr11-60101304-60102502	0.610448	0.855422
chr11-60196062-60197260	0.808971	0.450667
chr11-60259251-60260449	0.796296	0.550562
chr11-60281886-60283084	0.865315	0.457219
chr11-60495789-60496987	0.729028	0.644444
chr11-60523481-60524679	0.718412	0.614958
chr11-60551821-60553019	0.743238	0.662162
chr11-60608544-60609742	0.216422	0.305112
chr11-60623246-60624444	0.55158	0.705645
chr11-60634035-60635233	0.674659	0.760684
chr11-60673862-60675060	0.0892612	0.0782123
chr11-60680346-60681544	0.445291	0.333333
chr11-60690953-60692151	0.119257	0.261097
chr11-60719059-60720257	0.121796	0.231969
chr11-60738152-60739350	0.619078	0.329932
chr11-60868867-60870065	0.746526	0.37931
chr11-60928891-60930089	0.0491022	0.112554
chr11-60969852-60971050	0.582103	0.574837
chr11-60988688-60989886	0.466119	0.774194
chr11-61007514-61008712	0.618094	0.780822
chr11-61062698-61063896	0.398188	0.535144
chr11-61099682-61100880	0.00923287	0.0803859
chr11-61100640-61101838	0.111029	0.15614
chr11-61128473-61129671	0.0256995	0.0745614
chr11-61129557-61130755	0.190507	0.285569
chr11-61158159-61159357	0.802458	0.467066
chr11-61196528-61197726	0.042812	0.0685619
chr11-61196545-61197743	0.0423739	0.0685619
chr11-61197185-61198383	0.0102243	0.0535714
chr11-61247592-61248790	0.686504	0.614286
chr11-61348100-61349298	0.0121388	0.150974
chr11-61446905-61448103	0.141301	0.504912
chr11-61519121-61520319	0.222236	0.44462
chr11-61559109-61560307	0.0319441	0.0336257
chr11-61559884-61561082	0.0056638	0.0475138
chr11-61584436-61585634	0.15874	0.180272
chr11-61594233-61595431	0.170232	0.462617
chr11-61658808-61660006	0.0746104	0.321429
chr11-61684799-61685997	0.136833	0.422819
chr11-61716842-61718040	0.700772	0.43617
chr11-61734934-61736132	0.459321	0.138646
chr11-61890445-61891643	0.0933223	0.0461095
chr11-61956688-61957886	0.542204	0.77907
chr11-61975140-61976338	0.646022	0.504274
chr11-62036627-62037825	0.652391	0.532609
chr11-62066338-62067536	0.560127	0.697674
chr11-62103920-62105118	0.219112	0.49703
chr11-62185507-62186705	0.81335	0.625
chr11-62314109-62315307	0.0630767	0.172117
chr11-62341247-62342445	0.0100937	0.0426165
chr11-62358805-62360003	0.0084908	0.0675537
chr11-62358911-62360109	0.00876106	0.0714286
chr11-62369114-62370312	0.0788043	0.137395
chr11-62379213-62380411	0.0104439	0.102253
chr11-62380039-62381237	0.174573	0.338462
chr11-62389449-62390647	0.233049	0.223108
chr11-62413889-62415087	0.303069	0.443022
chr11-62420576-62421774	0.105771	0.111311
chr11-62431781-62432979	0.0155401	0.107303
chr11-62436745-62437943	0.77381	0.582418
chr11-62446329-62447527	0.204095	0.266667
chr11-62457173-62458371	0.678325	0.414474
chr11-62474130-62475328	0.541147	0.5902
chr11-62494623-62495821	0.00879039	0.0470588
chr11-62494658-62495856	0.0091647	0.0462329
chr11-62495011-62496209	0.00798234	0.0364583
chr11-62521462-62522660	0.234077	0.25802
chr11-62528016-62529214	0.241976	0.238325
chr11-62537775-62538973	0.176732	0.266667
chr11-62553899-62555097	0.0111546	0.072643
chr11-62559295-62560493	0.109387	0.272959
chr11-62573576-62574774	0.35617	0.382488
chr11-62599362-62600560	0.0506849	0.147668
chr11-62609083-62610281	0.0255693	0.123774
chr11-62622583-62623781	0.0115481	0.0374037
chr11-62688955-62690153	0.341704	0.444795
chr11-62752231-62753429	0.664766	0.894737
chr11-62783113-62784311	0.633283	0.721154
chr11-62996926-62998124	0.755013	0.44
chr11-63056636-63057834	0.670765	0.561404
chr11-63136280-63137478	0.534115	0.713178
chr11-63258468-63259666	0.114063	0.230958
chr11-63272835-63274033	0.599111	0.513932
chr11-63303293-63304491	0.603131	0.355263
chr11-63330657-63331855	0.766263	0.227848
chr11-63381643-63382841	0.118805	0.336222
chr11-63438886-63440084	0.331145	0.204986
chr11-63447955-63449153	0.065326	0.168498
chr11-63605400-63606598	0.0666999	0.241497
chr11-63684118-63685316	0.00783336	0.0976253
chr11-63705468-63706666	0.0214909	0.122383
chr11-63741079-63742277	0.311807	0.241102
chr11-63741092-63742290	0.304957	0.240363
chr11-63752885-63754083	0.0329849	0.0970696
chr11-63869660-63870858	0.882856	0.381418
chr11-63933335-63934533	0.115159	0.3125
chr11-63952587-63953785	0.00644266	0.0617608
chr11-63973206-63974404	0.598847	0.477778
chr11-63992762-63993960	0.0824799	0.206581
chr11-63993528-63994726	0.0428571	0.131884
chr11-63996750-63997948	0.374846	0.418136
chr11-64001010-64002208	0.181984	0.269397
chr11-64008220-64009418	0.0121509	0.0840108
chr11-64014215-64015413	0.0578422	0.206711
chr11-64018019-64019217	0.0448007	0.177936
chr11-64050811-64052009	0.198912	0.105839
chr11-64051913-64053111	0.00852309	0.0656814
chr11-64059131-64060329	0.0208228	0.208577
chr11-64066863-64068061	0.0416496	0.246238
chr11-64072699-64073897	0.00671375	0.0874317
chr11-64084560-64085758	0.0126922	0.0625
chr11-64085358-64086556	0.0140733	0.0652447
chr11-64106695-64107893	0.56345	0.469613
chr11-64125643-64126841	0.0722785	0.253219
chr11-64322098-64323296	0.509278	0.586614
chr11-64357282-64358480	0.69015	0.817164
chr11-64490462-64491660	0.0598769	0.135593
chr11-64512730-64513928	0.0309576	0.155792
chr11-64527571-64528769	0.59358	0.587786
chr11-64545743-64546941	0.0146479	0.0980392
chr11-64570515-64571713	0.104815	0.307325
chr11-64578568-64579766	0.731503	0.492754
chr11-64611843-64613041	0.0354373	0.181333
chr11-64645993-64647191	0.0254039	0.0839844
chr11-64684522-64685720	0.0235386	0.110909
chr11-64691143-64692341	0.116088	0.141221
chr11-64703162-64704360	0.681834	0.64966
chr11-64739160-64740358	0.482346	0.568182
chr11-64764319-64765517	0.39141	0.529412
chr11-64780585-64781783	0.0640294	0.107143
chr11-64793880-64795078	0.273337	0.368043
chr11-64807376-64808574	0.272672	0.351695
chr11-64825823-64827021	0.856737	0.350993
chr11-64850707-64851905	0.0196333	0.114416
chr11-64851425-64852623	0.136738	0.330014
chr11-64856365-64857563	0.923407	0.261324
chr11-64862631-64863829	0.545314	0.469577
chr11-64878326-64879524	0.375747	0.420091
chr11-64884972-64886170	0.197234	0.343448
chr11-64888800-64889998	0.0121777	0.0550996
chr11-64889747-64890945	0.231065	0.284251
chr11-64901806-64903004	0.00685592	0.0586283
chr11-64936625-64937823	0.80103	0.480069
chr11-64948933-64950131	0.0146413	0.0936768
chr11-65028233-65029431	0.274921	0.295515
chr11-65083691-65084889	0.281272	0.396721
chr11-65100225-65101423	0.105047	0.3075
chr11-65121238-65122436	0.128515	0.287724
chr11-65149944-65151142	0.337043	0.283673
chr11-65153070-65154268	0.221846	0.287781
chr11-65291548-65292746	0.103067	0.209964
chr11-65325501-65326699	0.0653465	0.234828
chr11-65336901-65338099	0.0104723	0.0608931
chr11-65338999-65340197	0.133789	0.170264
chr11-65342509-65343707	0.0397446	0.162824
chr11-65363269-65364467	0.648045	0.561728
chr11-65381515-65382713	0.00765697	0.0422741
chr11-65382244-65383442	0.00383032	0.0442375
chr11-65406592-65407790	0.705413	0.462838
chr11-65430367-65431565	0.00463853	0.0541872
chr11-65478505-65479703	0.177167	0.248207
chr11-65488220-65489418	0.338076	0.365439
chr11-65548075-65549273	0.0514318	0.276173
chr11-65553493-65554691	0.11804	0.413223
chr11-65600112-65601310	0.0919658	0.309979
chr11-65626688-65627886	0.00682273	0.0461847
chr11-65626876-65628074	0.0066393	0.0435685
chr11-65640179-65641377	0.0159554	0.109091
chr11-65646280-65647478	0.732448	0.45045
chr11-65655804-65657002	0.0096516	0.050592
chr11-65656875-65658073	0.0564617	0.221636
chr11-65667799-65668997	0.217405	0.385126
chr11-65685728-65686926	0.0486887	0.210938
chr11-65686390-65687588	0.00766993	0.0950119
chr11-65728160-65729358	0.206169	0.240385
chr11-65768550-65769748	0.187163	0.292857
chr11-65769430-65770628	0.00759144	0.0423729
chr11-65778312-65779510	0.19992	0.517915
chr11-65793790-65794988	0.773035	0.621891
chr11-65816453-65817651	0.349042	0.625514
chr11-65818807-65820005	0.0328919	0.150072
chr11-65836925-65838123	0.0168962	0.179572
chr11-66023765-66024963	0.0740541	0.110619
chr11-66035004-66036202	0.00779045	0.0635838
chr11-66044670-66045868	0.0767785	0.35589
chr11-66056443-66057641	0.0489562	0.2925
chr11-66058341-66059539	0.131914	0.352542
chr11-66084317-66085515	0.222151	0.474501
chr11-66103802-66105000	0.17849	0.280551
chr11-66112392-66113590	0.166598	0.242574
chr11-66114965-66116163	0.0709851	0.155022
chr11-66139093-66140291	0.0495489	0.212798
chr11-66187475-66188673	0.151269	0.541195
chr11-66206121-66207319	0.252718	0.215762
chr11-66233340-66234538	0.089878	0.24557
chr11-66246880-66248078	0.0155317	0.097254
chr11-66277080-66278278	0.374031	0.29901
chr11-66313511-66314709	0.053523	0.263081
chr11-66335869-66337067	0.285979	0.391813
chr11-66359292-66360490	0.426162	0.498471
chr11-66360356-66361554	0.0868515	0.26776
chr11-66383053-66384251	0.144571	0.266507
chr11-66383097-66384295	0.129849	0.256586
chr11-66405406-66406604	0.0475394	0.152561
chr11-66445021-66446219	0.0132668	0.0855072
chr11-66496232-66497430	0.40965	0.413361
chr11-66511207-66512405	0.168157	0.342513
chr11-66609883-66611081	0.00823422	0.0533537
chr11-66623973-66625171	0.0783305	0.258803
chr11-66725649-66726847	0.061628	0.243094
chr11-66773249-66774447	0.824533	0.402098
chr11-66823289-66824487	0.107452	0.330986
chr11-66886158-66887356	0.00703149	0.103093
chr11-67032881-67034079	0.119608	0.276404
chr11-67055762-67056960	0.0112874	0.0916031
chr11-67069919-67071117	0.12853	0.279393
chr11-67120819-67122017	0.0576067	0.14553
chr11-67141010-67142208	0.0568922	0.199501
chr11-67158423-67159621	0.0254605	0.125874
chr11-67169066-67170264	0.18369	0.386087
chr11-67170412-67171610	0.711242	0.329268
chr11-67182557-67183755	0.106712	0.365217
chr11-67194972-67196170	0.143153	0.232276
chr11-67205340-67206538	0.651207	0.599284
chr11-67211065-67212263	0.23786	0.223629
chr11-67220002-67221200	0.851812	0.375824
chr11-67221818-67223016	0.821251	0.544928
chr11-67236507-67237705	0.133482	0.31886
chr11-67249512-67250710	0.26474	0.330793
chr11-67272645-67273843	0.0305701	0.150442
chr11-67275904-67277102	0.199171	0.233631
chr11-67290669-67291867	0.681483	0.627866
chr11-67350066-67351264	0.204066	0.362416
chr11-67373323-67374521	0.124147	0.346509
chr11-67397194-67398392	0.0180971	0.185841
chr11-67406833-67408031	0.595407	0.622253
